kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
BFS.2.sm_30.ptx 120 : 1024 5216 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 111 : 2 0 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 110 : 2 12 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 109 : 2 18 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 106 : 2 6 0 0 0 1 1 0 0 
BFS.2.sm_30.ptx 105 : 2 10 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 104 : 2 6 0 0 0 1 1 0 0 
BFS.2.sm_30.ptx 103 : 2 18 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 101 : 2 0 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 100 : 2 12 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 99 : 2 282 0 0 0 1 1 0 0 
BFS.2.sm_30.ptx 98 : 2 18 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 97 : 2 18 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 117 : 32000 180928 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 116 : 32000 205600 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 115 : 32000 297184 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 114 : 32000 199392 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 96 : 2 282 0 0 0 1 1 0 0 
BFS.2.sm_30.ptx 95 : 2 18 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 94 : 2 18 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 93 : 2 18 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 90 : 32 150 0 0 0 0 0 0 1 
BFS.2.sm_30.ptx 89 : 32 192 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 88 : 32 192 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 87 : 32 288 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 86 : 32 4512 0 0 0 1 1 0 0 
BFS.2.sm_30.ptx 85 : 32 4512 0 0 0 1 1 0 0 
BFS.2.sm_30.ptx 84 : 32 288 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 82 : 32000 172864 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 58 : 1024 9216 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 57 : 1024 9216 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 56 : 1024 154368 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 55 : 1024 6368 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 54 : 1024 10432 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 53 : 1024 5984 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 52 : 1024 5952 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 51 : 1024 5664 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 50 : 1024 14464 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 49 : 1024 16480 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 44 : 1024 285696 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 81 : 32000 201472 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 43 : 1024 281504 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 80 : 32000 4566592 0 0 0 1000 1000 0 0 
BFS.2.sm_30.ptx 45 : 1024 123552 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 46 : 1024 16384 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 47 : 1024 16384 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 48 : 1024 16384 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 59 : 1024 6144 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 60 : 1024 9216 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 61 : 1024 9216 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 62 : 1024 8384 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 63 : 1024 19968 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 64 : 1024 12832 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 65 : 1024 9408 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 66 : 1024 10880 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 67 : 1024 10208 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 68 : 1024 7808 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 69 : 1024 0 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 71 : 1024 6912 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 72 : 1024 7168 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 73 : 1024 7168 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 76 : 32000 205760 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 77 : 32000 205920 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 78 : 32000 299776 0 0 0 0 0 0 0 
BFS.2.sm_30.ptx 79 : 32000 295648 0 0 0 0 0 0 0 
