kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
Triad.1.sm_30.ptx 46 : 32768 171552 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 45 : 32768 492992 0 0 0 4096 1024 0 0 
Triad.1.sm_30.ptx 44 : 32768 295872 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 43 : 32768 197024 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 32 : 32768 201728 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 31 : 32768 199904 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 30 : 32768 4685856 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 29 : 32768 5270496 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 27 : 32768 5034592 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 28 : 32768 5257568 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 33 : 32768 204864 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 34 : 32768 208832 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 35 : 32768 206272 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 36 : 32768 219680 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 37 : 32768 344992 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 38 : 32768 308032 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 39 : 32768 299680 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 40 : 32768 7694240 0 0 0 4096 1024 0 0 
Triad.1.sm_30.ptx 41 : 32768 321600 0 0 0 0 0 0 0 
Triad.1.sm_30.ptx 42 : 32768 9650656 0 0 0 4096 1024 0 0 
